PO_Number,Date,Vendor_Code,Vendor_Name,Category,Region,Contract_Type,Contract_Value,On_Time_Delivery_Pct,Quality_Score,Safety_Compliance_Pct,Response_Time_Hours,Defect_Rate_Pct,Cost_Variance_Pct
PO000178,2024-07-21,V1466,PetroChemical Supply,Chemical Supplies,Middle East,Time & Material,429647.54,84.0,9.0,83.6,11.2,3.26,-2.31
PO000179,2024-07-23,V1443,Well Design Partners,Engineering Services,Asia Pacific,Spot Purchase,182655.17,87.4,6.6,80.5,9.1,6.43,-13.71
PO000180,2024-07-28,V1311,DeepCore Industries,Drilling Equipment,Gulf Coast,Spot Purchase,871294.27,91.3,7.0,90.6,9.0,4.44,7.83
PO000181,2024-07-29,V1443,Well Design Partners,Engineering Services,Asia Pacific,Fixed Price,642564.4,91.0,9.3,83.6,11.4,,-14.85
PO000182,2024-07-29,V1138,Reservoir Solutions Inc,Engineering Services,Middle East,Fixed Price,788035.93,84.5,8.6,96.6,22.5,3.21,2.23
PO000183,2024-08-01,V1451,DrillTech Solutions,Drilling Equipment,Gulf Coast,Framework Agreement,1135558.67,82.3,9.5,94.0,14.2,0.83,-9.75
PO000184,2024-08-06,V1466,PetroChemical Supply,Chemical Supplies,West Africa,Fixed Price,116016.23,78.2,6.1,88.8,54.5,7.94,17.42
PO000185,2024-08-09,V1311,DeepCore Industries,Drilling Equipment,West Africa,Spot Purchase,777509.65,75.6,7.4,94.8,15.5,4.9,18.14
PO000186,2024-08-10,V1443,Well Design Partners,Engineering Services,West Africa,Fixed Price,203855.45,77.0,8.1,97.9,42.9,6.87,-9.1
PO000187,2024-08-23,V1428,ProTech Safety,Safety & PPE,West Africa,Time & Material,101628.32,75.7,10.0,90.1,11.9,1.79,11.75
PO000188,2024-08-26,V1128,Continental Carriers,Logistics & Transportation,West Africa,Time & Material,122864.06,91.9,8.6,87.5,9.5,2.99,17.8
PO000189,2024-09-02,V1196,PetroMax Equipment,Drilling Equipment,North Sea,Spot Purchase,344582.92,76.5,7.4,98.0,15.5,3.77,15.97
PO000190,2024-09-03,V1291,Advanced Fluids Ltd,Chemical Supplies,West Africa,Spot Purchase,226585.71,76.0,7.5,83.6,55.8,4.86,1.06
PO000191,2024-09-15,V1110,Equipment Care Plus,Maintenance & Repair,Asia Pacific,Fixed Price,184220.23,92.8,8.9,92.4,13.7,2.87,8.94
PO000192,2024-09-24,V1443,Well Design Partners,Engineering Services,Asia Pacific,Spot Purchase,267013.05,88.2,9.6,100.0,17.0,1.42,10.84
PO000193,2024-10-04,V1196,PetroMax Equipment,Drilling Equipment,Asia Pacific,Framework Agreement,222775.74,79.4,7.8,97.0,23.3,2.85,-18.46
PO000194,2024-10-05,V1091,FieldService Solutions,Maintenance & Repair,Gulf Coast,Time & Material,91047.0,78.6,6.6,91.9,12.3,3.58,2.2
PO000195,2024-10-06,V1128,Continental Carriers,Logistics & Transportation,Asia Pacific,Time & Material,155958.74,80.4,7.8,87.7,42.6,5.23,13.12
PO000196,2024-10-07,V1112,PetroMaintenance Corp,Maintenance & Repair,Gulf Coast,Framework Agreement,177633.47,95.1,7.5,80.9,14.7,2.61,-17.94
PO000197,2024-10-11,V1466,PetroChemical Supply,Chemical Supplies,Asia Pacific,Spot Purchase,438954.44,96.0,6.9,96.4,65.9,1.26,4.36
PO000198,2024-10-12,V1103,SafeGuard Supply Co,Safety & PPE,West Africa,Framework Agreement,134973.17,75.8,6.6,91.2,13.2,6.31,-10.94
PO000199,2024-10-13,V1167,GeoPetro Engineering,Engineering Services,Asia Pacific,Spot Purchase,532387.82,97.1,8.6,98.2,44.2,2.7,7.78
PO000200,2024-10-15,V1138,Reservoir Solutions Inc,Engineering Services,Asia Pacific,Time & Material,239154.33,81.4,9.8,94.2,12.0,3.69,16.39
PO000201,2024-10-16,V1428,ProTech Safety,Safety & PPE,Middle East,Time & Material,120558.69,89.2,7.4,94.6,29.2,4.77,-0.52
PO000202,2024-10-16,V1167,GeoPetro Engineering,Engineering Services,West Africa,Framework Agreement,546535.48,85.1,8.8,80.9,42.4,2.68,11.16
PO000203,2024-10-16,V1167,GeoPetro Engineering,Engineering Services,West Africa,Spot Purchase,410407.28,91.4,6.7,95.4,8.8,2.83,11.81
PO000204,2024-10-22,V1110,Equipment Care Plus,Maintenance & Repair,West Africa,Time & Material,339164.23,83.2,8.4,89.3,7.9,0.77,-2.77
PO000205,2024-10-23,V1103,SafeGuard Supply Co,Safety & PPE,Asia Pacific,Fixed Price,82175.33,82.7,9.8,91.6,35.4,3.84,15.67
PO000206,2024-11-02,V1291,Advanced Fluids Ltd,Chemical Supplies,West Africa,Spot Purchase,398624.66,76.8,6.1,94.0,21.7,4.04,-6.4
PO000207,2024-11-04,V1110,Equipment Care Plus,Maintenance & Repair,West Africa,Fixed Price,142382.7,91.1,9.8,99.9,4.4,1.57,-7.97
PO000208,2024-11-13,V1128,Continental Carriers,Logistics & Transportation,West Africa,Spot Purchase,224777.24,80.0,9.4,98.5,41.7,3.71,
PO000209,2024-11-14,V1067,OilField Safety Partners,Safety & PPE,North Sea,Framework Agreement,192508.49,81.4,9.4,100.0,14.3,1.29,-4.66
PO000210,2024-11-15,V1112,PetroMaintenance Corp,Maintenance & Repair,Middle East,Spot Purchase,120210.47,90.9,9.0,93.3,9.5,1.89,12.49
PO000211,2024-11-15,V1311,DeepCore Industries,Drilling Equipment,North Sea,Fixed Price,1134334.06,92.6,6.4,82.1,24.8,0.62,12.86
PO000212,2024-11-15,V1067,OilField Safety Partners,Safety & PPE,Gulf Coast,Fixed Price,156693.26,75.0,7.8,100.0,68.6,0.81,-4.2
PO000213,2024-11-15,V1110,Equipment Care Plus,Maintenance & Repair,North Sea,Framework Agreement,254905.38,87.0,,98.2,16.7,3.28,5.96
PO000214,2024-11-26,V1467,OceanFreight Services,Logistics & Transportation,Gulf Coast,Time & Material,311742.63,95.1,7.0,91.1,15.6,5.64,-1.43
PO000215,2024-12-02,V1291,Advanced Fluids Ltd,Chemical Supplies,Middle East,Spot Purchase,140855.95,92.2,6.1,88.0,38.4,3.01,-5.11
PO000216,2024-12-02,V1110,Equipment Care Plus,Maintenance & Repair,Gulf Coast,Framework Agreement,99203.57,92.9,9.2,99.3,17.3,0.27,4.61
PO000217,2024-12-11,V1467,OceanFreight Services,Logistics & Transportation,North Sea,Fixed Price,132262.94,86.7,8.4,87.9,26.0,3.71,-13.55
PO000218,2024-12-19,V1291,Advanced Fluids Ltd,Chemical Supplies,Asia Pacific,Spot Purchase,446713.93,80.4,7.2,81.4,46.2,3.5,-3.51
PO000219,2024-12-25,V1291,Advanced Fluids Ltd,Chemical Supplies,Gulf Coast,Fixed Price,398496.07,94.7,8.1,86.4,69.5,2.13,19.8
PO000220,2024-12-29,V1444,TransGlobal Logistics,Logistics & Transportation,North Sea,Fixed Price,129846.11,79.4,6.0,100.0,57.2,5.81,
